#{"t_start": 1748265526.3846576, "env_id": "None"}
r,l,t
-86.666336,200,230.027484
-181.56577,200,230.679358
-104.551962,200,230.897394
-89.163137,200,231.127487
-114.390648,200,231.326358
-124.949523,200,231.53299
-132.013776,200,232.242265
-117.486736,200,232.445769
-104.789435,200,232.64791
-163.323666,200,232.868952
-125.942412,200,233.118517
-159.845758,200,233.833958
-133.866875,200,234.028952
-183.027721,200,234.226006
-133.787406,200,234.421114
-162.554618,200,234.615537
-124.674963,200,234.801075
-100.394604,200,235.436068
-138.054979,200,235.646239
-113.009022,200,235.88989
-154.496318,200,236.097566
-132.967865,200,236.29162
-121.579323,200,237.008742
-186.36929,200,237.216786
-104.456951,200,237.423846
-87.739324,200,237.635572
-123.47993,200,237.854137
-102.068447,200,238.569167
-104.394707,200,238.769743
-129.046197,200,238.980349
-95.051299,200,239.180892
-121.335258,200,239.374923
-102.965874,200,240.01702
-149.083993,200,240.271321
-123.104586,200,240.498621
-163.090585,200,240.708667
-181.375353,200,240.906537
-99.283157,200,241.549772
-204.474818,200,241.74805
-128.774082,200,241.952633
-111.21559,200,242.156697
-103.013026,200,242.397656
-130.498809,200,243.116522
-172.645357,200,243.325541
-117.35358,200,243.525311
-238.909934,200,243.739333
-145.444946,200,243.936438
-116.348395,200,244.581344
-93.688729,200,244.817435
-156.848007,200,245.592843
-142.948613,200,245.776953
-122.443685,200,245.964009
-163.603945,200,246.629625
-94.36588,200,246.888396
-135.855529,200,247.122942
-136.920286,200,247.333041
-155.977022,200,247.537258
-180.71639,200,248.203208
-153.009246,200,248.403781
-98.932894,200,248.604804
-169.039924,200,248.831201
-150.576115,200,249.085741
-126.613117,200,249.300885
-116.929611,200,250.020278
-121.243351,200,250.220312
-135.973306,200,250.431466
-116.615046,200,250.6295
-155.58001,200,250.82655
-133.522457,200,251.499527
-122.32988,200,251.731088
-124.330023,200,251.932146
-150.07661,200,252.141692
-102.340934,200,252.337735
-130.597678,200,252.987256
-105.450196,200,253.201786
-174.940624,200,253.40984
-127.984692,200,253.653908
-103.873716,200,253.878952
-159.267228,200,254.550076
-141.067369,200,254.743176
-161.249281,200,254.94025
-112.294055,200,255.140136
-153.467699,200,255.337179
-99.641557,200,256.028552
-107.709059,200,256.266114
-156.507198,200,256.472912
-123.06247,200,256.677953
-118.46737,200,256.878007
-100.089457,200,257.530049
-111.881162,200,257.733382
-99.285161,200,257.937425
-92.965502,200,258.174977
-189.191487,200,258.385022
-111.672341,200,259.045005
-131.270758,200,259.249081
-145.375163,200,259.4522
-93.585716,200,259.657292
-136.15345,200,259.868521
-163.971458,200,260.582689
-129.195871,200,260.784395
-170.404852,200,260.989833
-140.89006,200,261.193877
-179.182176,200,261.398443
