#{"t_start": 1748237572.2546065, "env_id": "None"}
r,l,t
-0.0621,20,29.139338
-0.09833,20,29.169856
-0.085734,20,29.198861
-0.087169,20,29.231856
-0.051845,20,29.256371
-0.055522,20,29.288376
-0.081326,20,29.320377
-0.053575,20,29.352377
-0.048236,20,29.381894
-0.055013,20,29.407895
-0.069784,20,29.437896
-0.04002,20,29.469418
-0.043777,20,29.496419
-0.04645,20,29.524928
-0.055031,20,29.555935
-0.052349,20,29.581446
-0.063114,20,29.612446
-0.06789,20,29.642453
-0.07262,20,29.671969
-0.073564,20,29.699969
-0.044829,20,29.729969
-0.061143,20,29.762484
-0.037765,20,29.790483
-0.044588,20,29.820484
-0.034906,20,29.848492
-0.086171,20,29.879007
-0.060304,20,29.903007
-0.071076,20,29.935007
-0.037022,20,29.966523
-0.069674,20,29.991523
-0.041138,20,30.030523
-0.045114,20,30.067042
-0.06231,20,30.111042
-0.046268,20,30.156546
-0.034421,20,30.194557
-0.063396,20,30.225552
-0.065031,20,30.256078
-0.061135,20,30.290089
-0.064357,20,30.316089
-0.037505,20,30.349098
-0.063457,20,30.375611
-0.047669,20,30.40861
-0.062916,20,30.441618
-0.039534,20,30.47213
-0.051139,20,30.50013
-0.07902,20,30.53113
-0.05259,20,30.562164
-0.063488,20,30.597165
-0.071808,20,30.628166
-0.054466,20,30.655174
-0.062433,20,30.686687
-0.0583,20,30.719687
-0.057674,20,30.753692
-0.078895,20,30.785214
-0.037569,20,30.819212
-0.076465,20,30.848222
-0.074305,20,30.881734
-0.044133,20,30.911737
-0.096573,20,30.941742
-0.085774,20,30.97226
-0.034053,20,31.00226
-0.049708,20,31.03026
-0.060339,20,31.063778
-0.072095,20,31.096776
-0.071768,20,31.128774
-0.070253,20,31.154782
-0.048347,20,31.187299
-0.056231,20,31.222299
-0.063937,20,31.248307
-0.063941,20,31.282821
-0.036542,20,31.313821
-0.094203,20,31.347824
-0.044616,20,31.374343
-0.061508,20,31.406336
-0.061137,20,31.441336
-0.055249,20,31.468858
-0.081336,20,31.502858
-0.048621,20,31.537858
-0.064598,20,31.568892
-0.062851,20,31.601887
-0.037101,20,31.63289
-0.063465,20,31.666417
-0.040475,20,31.696419
-0.060141,20,31.72842
-0.064374,20,31.763928
-0.119226,20,31.794935
-0.037986,20,31.828932
-0.083853,20,31.865454
-0.048982,20,31.897456
-0.059713,20,31.930458
-0.053889,20,31.961977
-0.069719,20,31.995977
-0.048755,20,32.037977
-0.056832,20,32.091506
-0.031347,20,33.439126
-0.043675,20,33.474654
-0.038675,20,33.505654
-0.024398,20,33.533654
-0.040708,20,33.564183
-0.053949,20,33.59218
-0.035596,20,33.624691
-0.04206,20,33.6557
-0.069083,20,33.684212
-0.039287,20,33.715212
-0.049566,20,33.74822
-0.046767,20,33.773735
-0.032068,20,33.803736
-0.039383,20,33.833736
-0.070768,20,33.861262
